"agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","sample_start_time_datum_cd_reported","sample_end_time_datum_cd_reported","startDateTime","sample_end_dateTime","tz_cd"
"USGS","0143400680",2003-03-29,"11:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0940171 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD097A",20030407,NA,"USGSNWQL","EST","EST",2003-03-29 16:45:00,NA,"UTC"
"USGS","0143400680",2003-03-29,"14:55",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0940172 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD097A",20030407,NA,"USGSNWQL","EST","EST",2003-03-29 19:55:00,NA,"UTC"
"USGS","0143400680",2003-03-29,"15:35",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0940173 1978 and 2331 in one fcc bottle","00666","E",0.003,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD097A",20030407,NA,"USGSNWQL","EST","EST",2003-03-29 20:35:00,NA,"UTC"
"USGS","0143400680",2003-03-29,"16:35",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0940169 1978 and 2331 in one fcc bottle","00666","E",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD097A",20030407,NA,"USGSNWQL","EST","EST",2003-03-29 21:35:00,NA,"UTC"
"USGS","0143400680",2003-03-29,"18:50",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0940170 1978 and 2331 in one fcc bottle","00666","E",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD097A",20030407,NA,"USGSNWQL","EST","EST",2003-03-29 23:50:00,NA,"UTC"
"USGS","0143400680",2003-03-29,"22:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0940200 1978 and 2331 in one fcc bottle","00666","E",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD097B",20030407,NA,"USGSNWQL","EST","EST",2003-03-30 03:00:00,NA,"UTC"
"USGS","0143400680",2003-03-31,"00:01",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-0940201 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD097B",20030407,NA,"USGSNWQL","EST","EST",2003-03-31 05:01:00,NA,"UTC"
"USGS","0143400680",2003-04-01,"11:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","7","9","A-0930011 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD093A",20030404,NA,"USGSNWQL","EST","EST",2003-04-01 16:15:00,NA,"UTC"
"USGS","0143400680",2003-04-10,"12:30",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-1050054 1978 and 2331 in one fcc bottle","00666","E",0.003,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD108A",20030421,NA,"USGSNWQL","EST","EST",2003-04-10 17:30:00,NA,"UTC"
"USGS","0143400680",2003-04-23,"09:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-1150133 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD119C",20030430,NA,"USGSNWQL","EST","EST",2003-04-23 14:45:00,NA,"UTC"
"USGS","0143400680",2003-05-05,"10:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","7","9","A-1270107 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD127A",20030508,NA,"USGSNWQL","EST","EST",2003-05-05 15:45:00,NA,"UTC"
"USGS","0143400680",2003-05-21,"07:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-1480202 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD149A",20030530,NA,"USGSNWQL","EST","EST",2003-05-21 12:45:00,NA,"UTC"
"USGS","0143400680",2003-06-02,"12:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-1570195 1978 and 2331 in one fcc bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD157A",20030609,NA,"USGSNWQL","EST","EST",2003-06-02 17:15:00,NA,"UTC"
"USGS","0143400680",2003-06-18,"07:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-1740049 1978 and 2331 in one FCC bottle | L-1740049 recvd 6-20-03","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD174B",20030624,NA,"USGSNWQL","EST","EST",2003-06-18 12:45:00,NA,"UTC"
"USGS","0143400680",2003-07-02,"08:45",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-1890154 1978 and 2331 in one FCC bottle","00666","<",0.004,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD191A",20030711,NA,"USGSNWQL","EST","EST",2003-07-02 13:45:00,NA,"UTC"
"USGS","0143400680",2003-07-17,"09:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-2100294 1978 and 2331 in one fcc bottle","00666","E",0.003,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD213C",20030804,NA,"USGSNWQL","EST","EST",2003-07-17 14:00:00,NA,"UTC"
"USGS","0143400680",2003-07-30,"08:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","7","9","A-2170108 1978 and 2331 in one fcc bottle","00666","E",0.003,NA,"CL020","R",0.0044,"LRL",NA,NA,NA,"PELD217A",20030806,NA,"USGSNWQL","EST","EST",2003-07-30 13:00:00,NA,"UTC"
"USGS","0143400680",2003-08-05,"12:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-2270397 1978 and 2331 in one fcc bottle","00666","E",0.004,"n","CL020","R",0.0044,"LRL",NA,NA,NA,"PELD230A",20030819,NA,"USGSNWQL","EST","EST",2003-08-05 17:15:00,NA,"UTC"
"USGS","0143400680",2003-08-12,"14:00",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","7","9","A-2270401 1978 and 2331 in one fcc bottle","00666","E",0.004,"n","CL020","R",0.0044,"LRL",NA,NA,NA,"PELD230A",20030819,NA,"USGSNWQL","EST","EST",2003-08-12 19:00:00,NA,"UTC"
"USGS","0143400680",2003-08-26,"08:20",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","9","9","A-2530119 1978 and 2331 in one fcc bottleL-2530119 recvd 9-09-03","00666","E",0.003,"n","CL020","R",0.0044,"LRL",NA,NA,NA,"PELD253B",20030911,NA,"USGSNWQL","EST","EST",2003-08-26 13:20:00,NA,"UTC"
"USGS","0143400680",2003-09-09,"07:15",NA,NA,"K","USGS-WRD","WS","LTM",NA,NA,NA,"9","7","9","A-2550551 1978 and 2331 in one FCC bottle","00666","E",0.002,"n","CL020","R",0.0044,"LRL",NA,NA,NA,"PELD265A",20030922,NA,"USGSNWQL","EST","EST",2003-09-09 12:15:00,NA,"UTC"
